ROI,Mean Activation,Max Activation,Std Activation,Range Activation,Active Vertices,Total Vertices
bankssts-lh,0.0,0.0,0.0,0.0,0,3
bankssts-rh,0.0,0.0,0.0,0.0,0,1
caudalanteriorcingulate-lh,0.0,0.0,0.0,0.0,0,3
caudalmiddlefrontal-lh,0.0,0.0,0.0,0.0,0,4
caudalmiddlefrontal-rh,0.0,0.0,0.0,0.0,0,4
cuneus-lh,0.0,0.0,0.0,0.0,0,5
cuneus-rh,0.0,0.0,0.0,0.0,0,3
entorhinal-lh,0.0,0.0,0.0,0.0,0,1
entorhinal-rh,0.020201564185988428,0.31094115199666933,0.1386486551200624,0.6071547996388472,2,2
frontalpole-lh,0.0,0.0,0.0,0.0,0,2
frontalpole-rh,0.0,0.0,0.0,0.0,0,1
fusiform-lh,0.0,0.0,0.0,0.0,0,8
fusiform-rh,-0.012275930825124593,0.24616833044655007,0.09922358453681775,0.4878850585169284,5,10
inferiorparietal-lh,0.0,0.0,0.0,0.0,0,14
inferiorparietal-rh,-0.00046777180469808726,0.14980269125025086,0.06989217846138303,0.3037881950184471,3,15
inferiortemporal-lh,0.0,0.0,0.0,0.0,0,5
inferiortemporal-rh,0.011492244454479843,0.16795884175575915,0.08632357964616749,0.0,1,4
insula-lh,0.0,0.0,0.0,0.0,0,12
insula-rh,0.0041765908111217965,0.27269171498444655,0.12864124170033228,0.5665016092809196,3,3
isthmuscingulate-lh,0.0,0.0,0.0,0.0,0,5
isthmuscingulate-rh,0.0,0.0,0.0,0.0,0,5
lateraloccipital-lh,0.0,0.0,0.0,0.0,0,10
lateraloccipital-rh,0.0,0.0,0.0,0.0,0,9
lateralorbitofrontal-lh,0.0,0.0,0.0,0.0,0,4
lateralorbitofrontal-rh,0.015110547116486904,0.4976729956403781,0.15857363241684122,0.958512705778191,6,6
lingual-lh,0.0,0.0,0.0,0.0,0,3
lingual-rh,0.0,0.0,0.0,0.0,0,2
medialorbitofrontal-lh,0.0,0.0,0.0,0.0,0,4
medialorbitofrontal-rh,-0.007504015336679289,0.5369579000927772,0.20544594660427526,0.9906574349219229,5,6
middletemporal-lh,0.0,0.0,0.0,0.0,0,4
middletemporal-rh,-0.012124522390079199,0.18725747622441474,0.07163783922403939,0.3632132590967045,5,8
paracentral-lh,0.0,0.0,0.0,0.0,0,1
paracentral-rh,0.0,0.0,0.0,0.0,0,9
parahippocampal-lh,0.0,0.0,0.0,0.0,0,5
parahippocampal-rh,-0.007853575085041975,0.21562675307354276,0.07241192712697142,0.4152742053454566,3,3
parsopercularis-lh,0.0,0.0,0.0,0.0,0,5
parsopercularis-rh,0.013359836252334356,0.24445580727944435,0.11199541729864637,0.4813958660152864,3,4
parsorbitalis-lh,0.0,0.0,0.0,0.0,0,1
parsorbitalis-rh,0.007528367202711805,0.3368661827898799,0.15858627549976229,0.6468186405131318,2,2
parstriangularis-lh,0.0,0.0,0.0,0.0,0,4
parstriangularis-rh,0.0016991326403627794,0.38179801849580164,0.14692127020443138,0.6899744720090846,5,5
pericalcarine-lh,0.0,0.0,0.0,0.0,0,1
postcentral-lh,0.0,0.0,0.0,0.0,0,17
postcentral-rh,-0.008738956200712992,0.16279494335469397,0.07987472351895727,0.33113047631220605,6,12
posteriorcingulate-lh,0.0,0.0,0.0,0.0,0,8
posteriorcingulate-rh,0.0,0.0,0.0,0.0,0,5
precentral-lh,0.0,0.0,0.0,0.0,0,15
precentral-rh,0.0025300230456781984,0.2143904853318163,0.09873507838624151,0.4596884608122782,7,16
precuneus-lh,0.0,0.0,0.0,0.0,0,8
precuneus-rh,0.0,0.0,0.0,0.0,0,7
rostralanteriorcingulate-lh,0.0,0.0,0.0,0.0,0,1
rostralmiddlefrontal-lh,0.0,0.0,0.0,0.0,0,10
rostralmiddlefrontal-rh,0.0011476046896781293,0.4180750129957005,0.1599942798723011,0.8113474270648855,6,12
superiorfrontal-lh,0.0,0.0,0.0,0.0,0,19
superiorfrontal-rh,0.0,0.0,0.0,0.0,0,16
superiorparietal-lh,0.0,0.0,0.0,0.0,0,14
superiorparietal-rh,0.0,0.0,0.0,0.0,0,16
superiortemporal-lh,0.0,0.0,0.0,0.0,0,10
superiortemporal-rh,-0.008964744940216315,0.29850781525836423,0.09896163003579196,0.5870449670604985,11,12
supramarginal-lh,0.0,0.0,0.0,0.0,0,10
supramarginal-rh,-0.011019927477438492,0.174099837993961,0.07303711820473592,0.35561664264402504,11,15
temporalpole-lh,0.0,0.0,0.0,0.0,0,2
temporalpole-rh,0.01660219896167035,0.3341485812797137,0.1766297846027994,0.0,1,1
transversetemporal-lh,0.0,0.0,0.0,0.0,0,1
transversetemporal-rh,-0.006359801167906782,0.2045637227049957,0.10742546930618763,0.4028682648498128,2,2
