ROI,Mean Activation,Max Activation,Std Activation,Range Activation,Active Vertices,Total Vertices
bankssts-lh,0.0,0.0,0.0,0.0,0,3
bankssts-rh,0.0,0.0,0.0,0.0,0,1
caudalanteriorcingulate-lh,0.0,0.0,0.0,0.0,0,3
caudalmiddlefrontal-lh,0.0,0.0,0.0,0.0,0,4
caudalmiddlefrontal-rh,0.0,0.0,0.0,0.0,0,4
cuneus-lh,0.0,0.0,0.0,0.0,0,5
cuneus-rh,0.0,0.0,0.0,0.0,0,3
entorhinal-lh,0.0,0.0,0.0,0.0,0,1
entorhinal-rh,0.038697379329826975,0.316403547494607,0.138035382471175,0.5036727251858089,2,2
frontalpole-lh,0.0,0.0,0.0,0.0,0,2
frontalpole-rh,0.0,0.0,0.0,0.0,0,1
fusiform-lh,0.0,0.0,0.0,0.0,0,8
fusiform-rh,-0.0018472684350253194,0.4178775348433688,0.18216340002606918,0.9558462401522994,5,10
inferiorparietal-lh,0.0,0.0,0.0,0.0,0,14
inferiorparietal-rh,-0.021983278320868927,0.15017125140966586,0.0942268750644055,0.42038744876970047,3,15
inferiortemporal-lh,0.0,0.0,0.0,0.0,0,5
inferiortemporal-rh,0.030104824015623713,0.16085155155404146,0.09258561984476987,0.0,1,4
insula-lh,0.0,0.0,0.0,0.0,0,12
insula-rh,0.012867390589178029,0.3716530872437453,0.13986419521546847,0.6174856703513371,3,3
isthmuscingulate-lh,0.0,0.0,0.0,0.0,0,5
isthmuscingulate-rh,0.0,0.0,0.0,0.0,0,5
lateraloccipital-lh,0.0,0.0,0.0,0.0,0,10
lateraloccipital-rh,0.0,0.0,0.0,0.0,0,9
lateralorbitofrontal-lh,0.0,0.0,0.0,0.0,0,4
lateralorbitofrontal-rh,0.025253285656845446,0.6208614746191523,0.2254699490698272,1.2710290472417203,6,6
lingual-lh,0.0,0.0,0.0,0.0,0,3
lingual-rh,0.0,0.0,0.0,0.0,0,2
medialorbitofrontal-lh,0.0,0.0,0.0,0.0,0,4
medialorbitofrontal-rh,-0.0029001796855611327,0.6477172022215916,0.23693625984988928,1.246372518180531,5,6
middletemporal-lh,0.0,0.0,0.0,0.0,0,4
middletemporal-rh,-0.0019438525713581503,0.3609576166697884,0.15583302149016562,0.7959003758608365,5,8
paracentral-lh,0.0,0.0,0.0,0.0,0,1
paracentral-rh,0.0,0.0,0.0,0.0,0,9
parahippocampal-lh,0.0,0.0,0.0,0.0,0,5
parahippocampal-rh,-0.0016527167211648616,0.36441666340778683,0.15906467029936533,0.8430208873192688,3,3
parsopercularis-lh,0.0,0.0,0.0,0.0,0,5
parsopercularis-rh,0.004021911196640038,0.4064398778865671,0.18750316962277094,0.7763853888495769,3,4
parsorbitalis-lh,0.0,0.0,0.0,0.0,0,1
parsorbitalis-rh,-0.006361994653661065,0.40462586896575387,0.20953378860474117,0.8373783717402141,2,2
parstriangularis-lh,0.0,0.0,0.0,0.0,0,4
parstriangularis-rh,-0.014631527203049898,0.5938251975490516,0.2355022818975127,1.0613164176337424,5,5
pericalcarine-lh,0.0,0.0,0.0,0.0,0,1
postcentral-lh,0.0,0.0,0.0,0.0,0,17
postcentral-rh,-0.010494399032342847,0.30773020725480354,0.12622127657746612,0.6279144632971989,6,12
posteriorcingulate-lh,0.0,0.0,0.0,0.0,0,8
posteriorcingulate-rh,0.0,0.0,0.0,0.0,0,5
precentral-lh,0.0,0.0,0.0,0.0,0,15
precentral-rh,-0.0009477600230723588,0.38405683134936897,0.13840855977167774,0.7134449145502891,7,16
precuneus-lh,0.0,0.0,0.0,0.0,0,8
precuneus-rh,0.0,0.0,0.0,0.0,0,7
rostralanteriorcingulate-lh,0.0,0.0,0.0,0.0,0,1
rostralmiddlefrontal-lh,0.0,0.0,0.0,0.0,0,10
rostralmiddlefrontal-rh,-0.005752501386984146,0.4949384369046593,0.19172057113511515,0.9922672200224029,6,12
superiorfrontal-lh,0.0,0.0,0.0,0.0,0,19
superiorfrontal-rh,0.0,0.0,0.0,0.0,0,16
superiorparietal-lh,0.0,0.0,0.0,0.0,0,14
superiorparietal-rh,0.0,0.0,0.0,0.0,0,16
superiortemporal-lh,0.0,0.0,0.0,0.0,0,10
superiortemporal-rh,-0.009162890890375853,0.5268218866132314,0.1485311544023615,0.8911772081005358,11,12
supramarginal-lh,0.0,0.0,0.0,0.0,0,10
supramarginal-rh,-0.022225260680730084,0.27735943579083056,0.13049960671811878,0.6407479589419591,11,15
temporalpole-lh,0.0,0.0,0.0,0.0,0,2
temporalpole-rh,0.02486030804286533,0.2701708238034165,0.12096132598425913,0.0,1,1
transversetemporal-lh,0.0,0.0,0.0,0.0,0,1
transversetemporal-rh,-0.005216119315200875,0.24396843196596046,0.13753911778516797,0.488266420277497,2,2
